1769397841.528271 server started (2085773): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1769397841.528299 on Linux 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2
1769397841.528308 using libevent 2.1.12-stable poll
1769397841.528312 using ncurses 6.4 20240113
1769397841.574799 yylex_token: end at WS
1769397841.574801 yylex_token: select-pane
1769397841.574805 cmd_parse_build_commands 0:0: bind
1769397841.574808 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.574811 cmd_parse_build_commands 0:2: MouseDown1Pane
1769397841.574814 cmd_parse_build_commands 0:3 0:0: select-pane
1769397841.574818 cmd_parse_build_commands 0:0: select-pane
1769397841.574822 args_parse: flags end at 1 of 1
1769397841.574826 cmd_parse_build_commands: select-pane
1769397841.574829 args_parse_flags: next -Tcopy-mode-vi
1769397841.574832 args_parse_flag_argument: -T = copy-mode-vi
1769397841.574835 args_parse_flags: next MouseDown1Pane
1769397841.574838 args_parse: flags end at 2 of 4
1769397841.574841 args_parse: 2 = MouseDown1Pane (type STRING)
1769397841.574845 args_parse: 3 = select-pane (type COMMANDS)
1769397841.574850 cmd_parse_build_commands: bind-key -T copy-mode-vi MouseDown1Pane { select-pane }
1769397841.574854 cmdq_get_command: [bind-key/0x5921699c0e60] group 2560
1769397841.574857 cmdq_append <global>: [bind-key/0x5921699c0e60]
1769397841.574861 yylex_token: end at WS
1769397841.574864 yylex_token: bind
1769397841.574867 yylex_token: end at WS
1769397841.574870 yylex_token: -Tcopy-mode-vi
1769397841.574873 yylex_token: end at WS
1769397841.574876 yylex_token: MouseDrag1Pane
1769397841.574879 yylex_token: end at ;
1769397841.574882 yylex_token: select-pane
1769397841.574885 yylex_token: end at WS
1769397841.574888 yylex_token: send
1769397841.574891 yylex_token: end at WS
1769397841.574894 yylex_token: -X
1769397841.574897 yylex_token: end at WS
1769397841.574900 yylex_token: begin-selection
1769397841.574903 cmd_parse_build_commands 0:0: bind
1769397841.574907 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.574910 cmd_parse_build_commands 0:2: MouseDrag1Pane
1769397841.574913 cmd_parse_build_commands 0:3 0:0: select-pane
1769397841.574916 cmd_parse_build_commands 0:3 1:0: send
1769397841.574919 cmd_parse_build_commands 0:3 1:1: -X
1769397841.574922 cmd_parse_build_commands 0:3 1:2: begin-selection
1769397841.574926 cmd_parse_build_commands 0:0: select-pane
1769397841.574929 cmd_parse_build_commands 1:0: send
1769397841.574932 cmd_parse_build_commands 1:1: -X
1769397841.574935 cmd_parse_build_commands 1:2: begin-selection
1769397841.574939 args_parse: flags end at 1 of 1
1769397841.574943 args_parse_flags: next -X
1769397841.574946 args_parse_flags: -X
1769397841.574949 args_parse_flags: next begin-selection
1769397841.574952 args_parse: flags end at 2 of 3
1769397841.574955 args_parse: 2 = begin-selection (type STRING)
1769397841.574959 cmd_parse_build_commands: select-pane ; send-keys -X begin-selection
1769397841.574963 args_parse_flags: next -Tcopy-mode-vi
1769397841.574966 args_parse_flag_argument: -T = copy-mode-vi
1769397841.574969 args_parse_flags: next MouseDrag1Pane
1769397841.574972 args_parse: flags end at 2 of 4
1769397841.574975 args_parse: 2 = MouseDrag1Pane (type STRING)
1769397841.574979 args_parse: 3 = select-pane ; send-keys -X begin-selection (type COMMANDS)
1769397841.574986 cmd_parse_build_commands: bind-key -T copy-mode-vi MouseDrag1Pane { select-pane ; send-keys -X begin-selection }
1769397841.574990 cmdq_get_command: [bind-key/0x5921699c1950] group 2568
1769397841.574993 cmdq_append <global>: [bind-key/0x5921699c1950]
1769397841.575000 yylex_token: end at WS
1769397841.575004 yylex_token: bind
1769397841.575007 yylex_token: end at WS
1769397841.575010 yylex_token: -Tcopy-mode-vi
1769397841.575016 yylex_token: end at WS
1769397841.575019 yylex_token: MouseDragEnd1Pane
1769397841.575022 yylex_token: end at WS
1769397841.575025 yylex_token: send
1769397841.575028 yylex_token: end at WS
1769397841.575031 yylex_token: -X
1769397841.575034 yylex_token: end at WS
1769397841.575037 yylex_token: copy-pipe-and-cancel
1769397841.575040 cmd_parse_build_commands 0:0: bind
1769397841.575044 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.575047 cmd_parse_build_commands 0:2: MouseDragEnd1Pane
1769397841.575050 cmd_parse_build_commands 0:3 0:0: send
1769397841.575053 cmd_parse_build_commands 0:3 0:1: -X
1769397841.575056 cmd_parse_build_commands 0:3 0:2: copy-pipe-and-cancel
1769397841.575059 cmd_parse_build_commands 0:0: send
1769397841.575063 cmd_parse_build_commands 0:1: -X
1769397841.575066 cmd_parse_build_commands 0:2: copy-pipe-and-cancel
1769397841.575070 args_parse_flags: next -X
1769397841.575073 args_parse_flags: -X
1769397841.575076 args_parse_flags: next copy-pipe-and-cancel
1769397841.575079 args_parse: flags end at 2 of 3
1769397841.575082 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1769397841.575086 cmd_parse_build_commands: send-keys -X copy-pipe-and-cancel
1769397841.575090 args_parse_flags: next -Tcopy-mode-vi
1769397841.575093 args_parse_flag_argument: -T = copy-mode-vi
1769397841.575096 args_parse_flags: next MouseDragEnd1Pane
1769397841.575099 args_parse: flags end at 2 of 4
1769397841.575102 args_parse: 2 = MouseDragEnd1Pane (type STRING)
1769397841.575106 args_parse: 3 = send-keys -X copy-pipe-and-cancel (type COMMANDS)
1769397841.575113 cmd_parse_build_commands: bind-key -T copy-mode-vi MouseDragEnd1Pane { send-keys -X copy-pipe-and-cancel }
1769397841.575117 cmdq_get_command: [bind-key/0x5921699c1660] group 2577
1769397841.575120 cmdq_append <global>: [bind-key/0x5921699c1660]
1769397841.575124 yylex_token: end at WS
1769397841.575127 yylex_token: bind
1769397841.575130 yylex_token: end at WS
1769397841.575133 yylex_token: -Tcopy-mode-vi
1769397841.575136 yylex_token: end at WS
1769397841.575139 yylex_token: WheelUpPane
1769397841.575143 yylex_token: end at ;
1769397841.575145 yylex_token: select-pane
1769397841.575149 yylex_token: end at WS
1769397841.575151 yylex_token: send
1769397841.575154 yylex_token: end at WS
1769397841.575157 yylex_token: -N5
1769397841.575160 yylex_token: end at WS
1769397841.575163 yylex_token: -X
1769397841.575166 yylex_token: end at WS
1769397841.575169 yylex_token: scroll-up
1769397841.575172 cmd_parse_build_commands 0:0: bind
1769397841.575175 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.575178 cmd_parse_build_commands 0:2: WheelUpPane
1769397841.575182 cmd_parse_build_commands 0:3 0:0: select-pane
1769397841.575185 cmd_parse_build_commands 0:3 1:0: send
1769397841.575188 cmd_parse_build_commands 0:3 1:1: -N5
1769397841.575191 cmd_parse_build_commands 0:3 1:2: -X
1769397841.575194 cmd_parse_build_commands 0:3 1:3: scroll-up
1769397841.575197 cmd_parse_build_commands 0:0: select-pane
1769397841.575200 cmd_parse_build_commands 1:0: send
1769397841.575203 cmd_parse_build_commands 1:1: -N5
1769397841.575206 cmd_parse_build_commands 1:2: -X
1769397841.575209 cmd_parse_build_commands 1:3: scroll-up
1769397841.575213 args_parse: flags end at 1 of 1
1769397841.575218 args_parse_flags: next -N5
1769397841.575221 args_parse_flag_argument: -N = 5
1769397841.575224 args_parse_flags: next -X
1769397841.575226 args_parse_flags: -X
1769397841.575229 args_parse_flags: next scroll-up
1769397841.575232 args_parse: flags end at 3 of 4
1769397841.575235 args_parse: 3 = scroll-up (type STRING)
1769397841.575241 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-up
1769397841.575244 args_parse_flags: next -Tcopy-mode-vi
1769397841.575247 args_parse_flag_argument: -T = copy-mode-vi
1769397841.575250 args_parse_flags: next WheelUpPane
1769397841.575253 args_parse: flags end at 2 of 4
1769397841.575256 args_parse: 2 = WheelUpPane (type STRING)
1769397841.575261 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-up (type COMMANDS)
1769397841.575267 cmd_parse_build_commands: bind-key -T copy-mode-vi WheelUpPane { select-pane ; send-keys -X -N 5 scroll-up }
1769397841.575274 cmdq_get_command: [bind-key/0x5921699c26e0] group 2585
1769397841.575277 cmdq_append <global>: [bind-key/0x5921699c26e0]
1769397841.575285 yylex_token: end at WS
1769397841.575288 yylex_token: bind
1769397841.575291 yylex_token: end at WS
1769397841.575294 yylex_token: -Tcopy-mode-vi
1769397841.575297 yylex_token: end at WS
1769397841.575300 yylex_token: WheelDownPane
1769397841.575304 yylex_token: end at ;
1769397841.575306 yylex_token: select-pane
1769397841.575310 yylex_token: end at WS
1769397841.575312 yylex_token: send
1769397841.575315 yylex_token: end at WS
1769397841.575318 yylex_token: -N5
1769397841.575321 yylex_token: end at WS
1769397841.575324 yylex_token: -X
1769397841.575327 yylex_token: end at WS
1769397841.575330 yylex_token: scroll-down
1769397841.575333 cmd_parse_build_commands 0:0: bind
1769397841.575336 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.575339 cmd_parse_build_commands 0:2: WheelDownPane
1769397841.575343 cmd_parse_build_commands 0:3 0:0: select-pane
1769397841.575346 cmd_parse_build_commands 0:3 1:0: send
1769397841.575349 cmd_parse_build_commands 0:3 1:1: -N5
1769397841.575352 cmd_parse_build_commands 0:3 1:2: -X
1769397841.575355 cmd_parse_build_commands 0:3 1:3: scroll-down
1769397841.575358 cmd_parse_build_commands 0:0: select-pane
1769397841.575361 cmd_parse_build_commands 1:0: send
1769397841.575364 cmd_parse_build_commands 1:1: -N5
1769397841.575367 cmd_parse_build_commands 1:2: -X
1769397841.575370 cmd_parse_build_commands 1:3: scroll-down
1769397841.575374 args_parse: flags end at 1 of 1
1769397841.575378 args_parse_flags: next -N5
1769397841.575381 args_parse_flag_argument: -N = 5
1769397841.575384 args_parse_flags: next -X
1769397841.575387 args_parse_flags: -X
1769397841.575390 args_parse_flags: next scroll-down
1769397841.575393 args_parse: flags end at 3 of 4
1769397841.575396 args_parse: 3 = scroll-down (type STRING)
1769397841.575401 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-down
1769397841.575404 args_parse_flags: next -Tcopy-mode-vi
1769397841.575407 args_parse_flag_argument: -T = copy-mode-vi
1769397841.575410 args_parse_flags: next WheelDownPane
1769397841.575413 args_parse: flags end at 2 of 4
1769397841.575416 args_parse: 2 = WheelDownPane (type STRING)
1769397841.575421 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-down (type COMMANDS)
1769397841.575432 cmd_parse_build_commands: bind-key -T copy-mode-vi WheelDownPane { select-pane ; send-keys -X -N 5 scroll-down }
1769397841.575437 cmdq_get_command: [bind-key/0x5921699c2d10] group 2594
1769397841.575441 cmdq_append <global>: [bind-key/0x5921699c2d10]
1769397841.575445 yylex_token: end at WS
1769397841.575448 yylex_token: bind
1769397841.575452 yylex_token: end at WS
1769397841.575454 yylex_token: -Tcopy-mode-vi
1769397841.575458 yylex_token: end at WS
1769397841.575461 yylex_token: DoubleClick1Pane
1769397841.575464 yylex_token: end at ;
1769397841.575467 yylex_token: select-pane
1769397841.575470 yylex_token: end at WS
1769397841.575473 yylex_token: send
1769397841.575476 yylex_token: end at WS
1769397841.575478 yylex_token: -X
1769397841.575482 yylex_token: end at ;
1769397841.575485 yylex_token: select-word
1769397841.575488 yylex_token: end at WS
1769397841.575491 yylex_token: run
1769397841.575494 yylex_token: end at ;
1769397841.575497 yylex_token: -d0.3
1769397841.575500 yylex_token: end at WS
1769397841.575503 yylex_token: send
1769397841.575506 yylex_token: end at WS
1769397841.575508 yylex_token: -X
1769397841.575512 yylex_token: end at WS
1769397841.575515 yylex_token: copy-pipe-and-cancel
1769397841.575518 cmd_parse_build_commands 0:0: bind
1769397841.575521 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.575524 cmd_parse_build_commands 0:2: DoubleClick1Pane
1769397841.575528 cmd_parse_build_commands 0:3 0:0: select-pane
1769397841.575531 cmd_parse_build_commands 0:3 1:0: send
1769397841.575534 cmd_parse_build_commands 0:3 1:1: -X
1769397841.575540 cmd_parse_build_commands 0:3 1:2: select-word
1769397841.575543 cmd_parse_build_commands 0:3 2:0: run
1769397841.575546 cmd_parse_build_commands 0:3 2:1: -d0.3
1769397841.575549 cmd_parse_build_commands 0:3 3:0: send
1769397841.575552 cmd_parse_build_commands 0:3 3:1: -X
1769397841.575555 cmd_parse_build_commands 0:3 3:2: copy-pipe-and-cancel
1769397841.575559 cmd_parse_build_commands 0:0: select-pane
1769397841.575562 cmd_parse_build_commands 1:0: send
1769397841.575565 cmd_parse_build_commands 1:1: -X
1769397841.575568 cmd_parse_build_commands 1:2: select-word
1769397841.575571 cmd_parse_build_commands 2:0: run
1769397841.575574 cmd_parse_build_commands 2:1: -d0.3
1769397841.575577 cmd_parse_build_commands 3:0: send
1769397841.575580 cmd_parse_build_commands 3:1: -X
1769397841.575583 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1769397841.575587 args_parse: flags end at 1 of 1
1769397841.575592 args_parse_flags: next -X
1769397841.575594 args_parse_flags: -X
1769397841.575597 args_parse_flags: next select-word
1769397841.575600 args_parse: flags end at 2 of 3
1769397841.575604 args_parse: 2 = select-word (type STRING)
1769397841.575608 args_parse_flags: next -d0.3
1769397841.575611 args_parse_flag_argument: -d = 0.3
1769397841.575614 args_parse: flags end at 2 of 2
1769397841.575618 args_parse_flags: next -X
1769397841.575621 args_parse_flags: -X
1769397841.575624 args_parse_flags: next copy-pipe-and-cancel
1769397841.575627 args_parse: flags end at 2 of 3
1769397841.575630 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1769397841.575638 cmd_parse_build_commands: select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1769397841.575641 args_parse_flags: next -Tcopy-mode-vi
1769397841.575644 args_parse_flag_argument: -T = copy-mode-vi
1769397841.575647 args_parse_flags: next DoubleClick1Pane
1769397841.575650 args_parse: flags end at 2 of 4
1769397841.575653 args_parse: 2 = DoubleClick1Pane (type STRING)
1769397841.575660 args_parse: 3 = select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1769397841.575669 cmd_parse_build_commands: bind-key -T copy-mode-vi DoubleClick1Pane { select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1769397841.575673 cmdq_get_command: [bind-key/0x5921699c3ae0] group 2603
1769397841.575676 cmdq_append <global>: [bind-key/0x5921699c3ae0]
1769397841.575684 yylex_token: end at WS
1769397841.575688 yylex_token: bind
1769397841.575691 yylex_token: end at WS
1769397841.575694 yylex_token: -Tcopy-mode-vi
1769397841.575697 yylex_token: end at WS
1769397841.575700 yylex_token: TripleClick1Pane
1769397841.575703 yylex_token: end at ;
1769397841.575706 yylex_token: select-pane
1769397841.575709 yylex_token: end at WS
1769397841.575712 yylex_token: send
1769397841.575715 yylex_token: end at WS
1769397841.575718 yylex_token: -X
1769397841.575721 yylex_token: end at ;
1769397841.575724 yylex_token: select-line
1769397841.575727 yylex_token: end at WS
1769397841.575730 yylex_token: run
1769397841.575733 yylex_token: end at ;
1769397841.575736 yylex_token: -d0.3
1769397841.575739 yylex_token: end at WS
1769397841.575742 yylex_token: send
1769397841.575745 yylex_token: end at WS
1769397841.575748 yylex_token: -X
1769397841.575751 yylex_token: end at WS
1769397841.575754 yylex_token: copy-pipe-and-cancel
1769397841.575758 cmd_parse_build_commands 0:0: bind
1769397841.575761 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.575764 cmd_parse_build_commands 0:2: TripleClick1Pane
1769397841.575767 cmd_parse_build_commands 0:3 0:0: select-pane
1769397841.575770 cmd_parse_build_commands 0:3 1:0: send
1769397841.575773 cmd_parse_build_commands 0:3 1:1: -X
1769397841.575776 cmd_parse_build_commands 0:3 1:2: select-line
1769397841.575779 cmd_parse_build_commands 0:3 2:0: run
1769397841.575782 cmd_parse_build_commands 0:3 2:1: -d0.3
1769397841.575785 cmd_parse_build_commands 0:3 3:0: send
1769397841.575788 cmd_parse_build_commands 0:3 3:1: -X
1769397841.575794 cmd_parse_build_commands 0:3 3:2: copy-pipe-and-cancel
1769397841.575798 cmd_parse_build_commands 0:0: select-pane
1769397841.575801 cmd_parse_build_commands 1:0: send
1769397841.575804 cmd_parse_build_commands 1:1: -X
1769397841.575807 cmd_parse_build_commands 1:2: select-line
1769397841.575810 cmd_parse_build_commands 2:0: run
1769397841.575813 cmd_parse_build_commands 2:1: -d0.3
1769397841.575816 cmd_parse_build_commands 3:0: send
1769397841.575819 cmd_parse_build_commands 3:1: -X
1769397841.575822 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1769397841.575827 args_parse: flags end at 1 of 1
1769397841.575831 args_parse_flags: next -X
1769397841.575834 args_parse_flags: -X
1769397841.575837 args_parse_flags: next select-line
1769397841.575840 args_parse: flags end at 2 of 3
1769397841.575843 args_parse: 2 = select-line (type STRING)
1769397841.575848 args_parse_flags: next -d0.3
1769397841.575851 args_parse_flag_argument: -d = 0.3
1769397841.575854 args_parse: flags end at 2 of 2
1769397841.575858 args_parse_flags: next -X
1769397841.575861 args_parse_flags: -X
1769397841.575864 args_parse_flags: next copy-pipe-and-cancel
1769397841.575867 args_parse: flags end at 2 of 3
1769397841.575870 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1769397841.575876 cmd_parse_build_commands: select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1769397841.575880 args_parse_flags: next -Tcopy-mode-vi
1769397841.575883 args_parse_flag_argument: -T = copy-mode-vi
1769397841.575886 args_parse_flags: next TripleClick1Pane
1769397841.575889 args_parse: flags end at 2 of 4
1769397841.575892 args_parse: 2 = TripleClick1Pane (type STRING)
1769397841.575898 args_parse: 3 = select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1769397841.575906 cmd_parse_build_commands: bind-key -T copy-mode-vi TripleClick1Pane { select-pane ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1769397841.575911 cmdq_get_command: [bind-key/0x5921699c43a0] group 2614
1769397841.575914 cmdq_append <global>: [bind-key/0x5921699c43a0]
1769397841.575922 yylex_token: end at WS
1769397841.575925 yylex_token: bind
1769397841.575928 yylex_token: end at WS
1769397841.575931 yylex_token: -Tcopy-mode-vi
1769397841.575934 yylex_token: end at WS
1769397841.575937 yylex_token: BSpace
1769397841.575940 yylex_token: end at WS
1769397841.575943 yylex_token: send
1769397841.575946 yylex_token: end at WS
1769397841.575949 yylex_token: -X
1769397841.575952 yylex_token: end at WS
1769397841.575955 yylex_token: cursor-left
1769397841.575959 cmd_parse_build_commands 0:0: bind
1769397841.575962 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.575965 cmd_parse_build_commands 0:2: BSpace
1769397841.575968 cmd_parse_build_commands 0:3 0:0: send
1769397841.575971 cmd_parse_build_commands 0:3 0:1: -X
1769397841.575974 cmd_parse_build_commands 0:3 0:2: cursor-left
1769397841.575977 cmd_parse_build_commands 0:0: send
1769397841.575980 cmd_parse_build_commands 0:1: -X
1769397841.575983 cmd_parse_build_commands 0:2: cursor-left
1769397841.575988 args_parse_flags: next -X
1769397841.575990 args_parse_flags: -X
1769397841.575993 args_parse_flags: next cursor-left
1769397841.575996 args_parse: flags end at 2 of 3
1769397841.575999 args_parse: 2 = cursor-left (type STRING)
1769397841.576004 cmd_parse_build_commands: send-keys -X cursor-left
1769397841.576007 args_parse_flags: next -Tcopy-mode-vi
1769397841.576010 args_parse_flag_argument: -T = copy-mode-vi
1769397841.576013 args_parse_flags: next BSpace
1769397841.576016 args_parse: flags end at 2 of 4
1769397841.576019 args_parse: 2 = BSpace (type STRING)
1769397841.576024 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1769397841.576030 cmd_parse_build_commands: bind-key -T copy-mode-vi BSpace { send-keys -X cursor-left }
1769397841.576034 cmdq_get_command: [bind-key/0x5921699c3840] group 2625
1769397841.576037 cmdq_append <global>: [bind-key/0x5921699c3840]
1769397841.576041 yylex_token: end at WS
1769397841.576047 yylex_token: bind
1769397841.576051 yylex_token: end at WS
1769397841.576053 yylex_token: -Tcopy-mode-vi
1769397841.576057 yylex_token: end at WS
1769397841.576059 yylex_token: NPage
1769397841.576062 yylex_token: end at WS
1769397841.576065 yylex_token: send
1769397841.576068 yylex_token: end at WS
1769397841.576071 yylex_token: -X
1769397841.576074 yylex_token: end at WS
1769397841.576077 yylex_token: page-down
1769397841.576081 cmd_parse_build_commands 0:0: bind
1769397841.576084 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.576087 cmd_parse_build_commands 0:2: NPage
1769397841.576090 cmd_parse_build_commands 0:3 0:0: send
1769397841.576093 cmd_parse_build_commands 0:3 0:1: -X
1769397841.576096 cmd_parse_build_commands 0:3 0:2: page-down
1769397841.576099 cmd_parse_build_commands 0:0: send
1769397841.576102 cmd_parse_build_commands 0:1: -X
1769397841.576105 cmd_parse_build_commands 0:2: page-down
1769397841.576110 args_parse_flags: next -X
1769397841.576112 args_parse_flags: -X
1769397841.576115 args_parse_flags: next page-down
1769397841.576118 args_parse: flags end at 2 of 3
1769397841.576122 args_parse: 2 = page-down (type STRING)
1769397841.576126 cmd_parse_build_commands: send-keys -X page-down
1769397841.576129 args_parse_flags: next -Tcopy-mode-vi
1769397841.576132 args_parse_flag_argument: -T = copy-mode-vi
1769397841.576135 args_parse_flags: next NPage
1769397841.576138 args_parse: flags end at 2 of 4
1769397841.576141 args_parse: 2 = NPage (type STRING)
1769397841.576145 args_parse: 3 = send-keys -X page-down (type COMMANDS)
1769397841.576151 cmd_parse_build_commands: bind-key -T copy-mode-vi NPage { send-keys -X page-down }
1769397841.576155 cmdq_get_command: [bind-key/0x5921699c4500] group 2633
1769397841.576158 cmdq_append <global>: [bind-key/0x5921699c4500]
1769397841.576162 yylex_token: end at WS
1769397841.576165 yylex_token: bind
1769397841.576168 yylex_token: end at WS
1769397841.576171 yylex_token: -Tcopy-mode-vi
1769397841.576174 yylex_token: end at WS
1769397841.576177 yylex_token: PPage
1769397841.576180 yylex_token: end at WS
1769397841.576183 yylex_token: send
1769397841.576186 yylex_token: end at WS
1769397841.576189 yylex_token: -X
1769397841.576192 yylex_token: end at WS
1769397841.576195 yylex_token: page-up
1769397841.576198 cmd_parse_build_commands 0:0: bind
1769397841.576201 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.576204 cmd_parse_build_commands 0:2: PPage
1769397841.576208 cmd_parse_build_commands 0:3 0:0: send
1769397841.576211 cmd_parse_build_commands 0:3 0:1: -X
1769397841.576228 cmd_parse_build_commands 0:3 0:2: page-up
1769397841.576232 cmd_parse_build_commands 0:0: send
1769397841.576235 cmd_parse_build_commands 0:1: -X
1769397841.576238 cmd_parse_build_commands 0:2: page-up
1769397841.576242 args_parse_flags: next -X
1769397841.576245 args_parse_flags: -X
1769397841.576248 args_parse_flags: next page-up
1769397841.576251 args_parse: flags end at 2 of 3
1769397841.576255 args_parse: 2 = page-up (type STRING)
1769397841.576259 cmd_parse_build_commands: send-keys -X page-up
1769397841.576262 args_parse_flags: next -Tcopy-mode-vi
1769397841.576266 args_parse_flag_argument: -T = copy-mode-vi
1769397841.576269 args_parse_flags: next PPage
1769397841.576272 args_parse: flags end at 2 of 4
1769397841.576275 args_parse: 2 = PPage (type STRING)
1769397841.576279 args_parse: 3 = send-keys -X page-up (type COMMANDS)
1769397841.576285 cmd_parse_build_commands: bind-key -T copy-mode-vi PPage { send-keys -X page-up }
1769397841.576289 cmdq_get_command: [bind-key/0x5921699c4a20] group 2641
1769397841.576292 cmdq_append <global>: [bind-key/0x5921699c4a20]
1769397841.576297 yylex_token: end at WS
1769397841.576300 yylex_token: bind
1769397841.576303 yylex_token: end at WS
1769397841.576306 yylex_token: -Tcopy-mode-vi
1769397841.576309 yylex_token: end at WS
1769397841.576312 yylex_token: Up
1769397841.576315 yylex_token: end at WS
1769397841.576318 yylex_token: send
1769397841.576321 yylex_token: end at WS
1769397841.576324 yylex_token: -X
1769397841.576330 yylex_token: end at WS
1769397841.576333 yylex_token: cursor-up
1769397841.576337 cmd_parse_build_commands 0:0: bind
1769397841.576340 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.576343 cmd_parse_build_commands 0:2: Up
1769397841.576346 cmd_parse_build_commands 0:3 0:0: send
1769397841.576349 cmd_parse_build_commands 0:3 0:1: -X
1769397841.576353 cmd_parse_build_commands 0:3 0:2: cursor-up
1769397841.576356 cmd_parse_build_commands 0:0: send
1769397841.576359 cmd_parse_build_commands 0:1: -X
1769397841.576362 cmd_parse_build_commands 0:2: cursor-up
1769397841.576367 args_parse_flags: next -X
1769397841.576370 args_parse_flags: -X
1769397841.576373 args_parse_flags: next cursor-up
1769397841.576376 args_parse: flags end at 2 of 3
1769397841.576379 args_parse: 2 = cursor-up (type STRING)
1769397841.576383 cmd_parse_build_commands: send-keys -X cursor-up
1769397841.576387 args_parse_flags: next -Tcopy-mode-vi
1769397841.576390 args_parse_flag_argument: -T = copy-mode-vi
1769397841.576393 args_parse_flags: next Up
1769397841.576396 args_parse: flags end at 2 of 4
1769397841.576399 args_parse: 2 = Up (type STRING)
1769397841.576403 args_parse: 3 = send-keys -X cursor-up (type COMMANDS)
1769397841.576409 cmd_parse_build_commands: bind-key -T copy-mode-vi Up { send-keys -X cursor-up }
1769397841.576413 cmdq_get_command: [bind-key/0x5921699c4f50] group 2649
1769397841.576416 cmdq_append <global>: [bind-key/0x5921699c4f50]
1769397841.576420 yylex_token: end at WS
1769397841.576423 yylex_token: bind
1769397841.576444 yylex_token: end at WS
1769397841.576448 yylex_token: -Tcopy-mode-vi
1769397841.576452 yylex_token: end at WS
1769397841.576455 yylex_token: Down
1769397841.576458 yylex_token: end at WS
1769397841.576461 yylex_token: send
1769397841.576464 yylex_token: end at WS
1769397841.576467 yylex_token: -X
1769397841.576470 yylex_token: end at WS
1769397841.576473 yylex_token: cursor-down
1769397841.576477 cmd_parse_build_commands 0:0: bind
1769397841.576480 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1769397841.576483 cmd_parse_build_commands 0:2: Down
1769397841.576486 cmd_parse_build_commands 0:3 0:0: send
1769397841.576489 cmd_parse_build_commands 0:3 0:1: -X
1769397841.576493 cmd_parse_build_commands 0:3 0:2: cursor-down
1769397841.576496 cmd_parse_build_commands 0:0: send
1769397841.576512 cmd_parse_build_commands 0:1: -X
1769397841.576515 cmd_parse_build_commands 0:2: cursor-down
1769397841.576519 args_parse_flags: next -X
1769397841.576522 args_parse_flags: -X
1769397841.576525 args_parse_flags: next cursor-down
1769397841.576528 args_parse: flags end at 2 of 3
1769397841.576531 args_parse: 2 = cursor-down (type STRING)
1769397841.576536 cmd_parse_build_commands: send-keys -X cursor-down
1769397841.576539 args_parse_flags: next -Tcopy-mode-vi
1769397841.576542 args_parse_flag_argument: -T = copy-mode-vi
1769397841.576545 args_parse_flags: next Down
1769397841.576548 args_parse: flags end at 2 of 4
1769397841.576551 args_parse: 2 = Down (type STRING)
1769397841.576555 args_parse: 3 = send-keys -X cursor-down (type COMMANDS)
1769397841.576561 cmd_parse_build_commands: bind-key -T copy-mode-vi Down { send-keys -X cursor-down }
1769397841.576564 cmdq_get_command: [bind-key/0x5921699c5660] group 2657
1769397841.576567 cmdq_append <global>: [bind-key/0x5921699c5660]
1769397841.576575 yylex_token: end at WS
1769397841.576578 yylex_token: bind
1769397841.576581 yylex_token: end at WS
1769397841.576584 yylex_token: -Tcopy-mode-vi
1769397841.576587 yylex_token: end at WS
1769397841.576590 yylex_token: Left
1769397841.576593 yylex_token: end at WS
